year,region,country,country_label,poe,state,total_arrivals,male_arrivals,female_arrivals
2023,Asia,IND,India,Pelabuhan Melaka,Melaka,25,24,1
2023,Asia,JOR,Jordan,LTA Langkawi,Kedah,25,11,14
2023,Asia,KOR,Korea,Biawak,Sarawak,25,20,5
2023,Asia,LAO,Lao People's Democratic Republic,Pos Imigresen Bukit Bunga,Kelantan,25,6,19
2023,Asia,RUS,Russian Federation,LT Miri,Sarawak,25,15,10
2023,Asia,TLS,Timor-Leste,Gelang Patah,Johor,25,5,20
2023,Asia,AZE,Azerbaijan,Gelang Patah,Johor,24,13,11
2023,Asia,BRN,Brunei Darussalam,Dermaga Tawau,Sabah,24,19,5
2023,Asia,GEO,Georgia,Bangunan Sultan Iskandar,Johor,24,12,12
2023,Asia,HKG,Hong Kong,Bangunan Sultan Iskandar,Johor,24,11,13
2023,Asia,KHM,Cambodia,LTA Kuching,Sarawak,24,10,14
2023,Asia,LAO,Lao People's Democratic Republic,LTA Kota Kinabalu,Sabah,24,8,16
2023,Asia,PAK,Pakistan,Dermaga Labuan,Labuan,24,17,7
2023,Asia,PHL,Philippines,LT Sandakan,Sabah,24,8,16
2023,Asia,PSE,Palestinian Territory,Sungai Tujuh,Sarawak,24,20,4
2023,Asia,UZB,Uzbekistan,LTA Subang Terminal 3,Selangor,24,6,18
2023,Asia,ARM,Armenia,LTA Langkawi,Kedah,23,9,14
2023,Asia,BGD,Bangladesh,Pos Imigresen Mengkalap,Sarawak,23,14,9
2023,Asia,BRN,Brunei Darussalam,Pengkalan Hulu (Bukit Berapit),Perak,23,14,9
2023,Asia,IDN,Indonesia,Dermaga Sandakan,Sabah,23,20,3
2023,Asia,IND,India,Jeti Kukup,Johor,23,23,0
2023,Asia,IND,India,Telaga Harbour Park,Kedah,23,14,9
2023,Asia,KAZ,Kazakhstan,Sungai Tujuh,Sarawak,23,1,22
2023,Asia,KGZ,Kyrgyz Republic,Bukit Kayu Hitam,Kedah,23,18,5
2023,Asia,LBN,Lebanon,LTA Bayan Lepas,Pulau_Pinang,23,19,4
2023,Asia,MDV,Maldives,LTA Langkawi,Kedah,23,12,11
2023,Asia,MMR,Myanmar,Rantau Panjang,Kelantan,23,6,17
2023,Asia,MNG,Mongolia,Wang Kelian,Perlis,23,15,8
2023,Asia,NPL,Nepal,LTA Kuching,Sarawak,23,18,5
2023,Asia,PAK,Pakistan,Tebedu,Sarawak,23,23,0
2023,Asia,PHL,Philippines,ICQS Kudat,Sabah,23,6,17
2023,Asia,SGP,Singapore,Pelabuhan Tanjung Pelepas,Johor,23,23,0
2023,Asia,THA,Thailand,Jeti Pasir Gudang,Johor,23,14,9
2023,Asia,TUR,Turkey,Rantau Panjang,Kelantan,23,19,4
2023,Asia,ARM,Armenia,LTA Bayan Lepas,Pulau_Pinang,22,8,14
2023,Asia,BTN,Bhutan,LTA Bayan Lepas,Pulau_Pinang,22,19,3
2023,Asia,JPN,Japan,Tebedu,Sarawak,22,18,4
2023,Asia,KHM,Cambodia,Pelabuhan Klang Barat - KMT,Selangor,22,12,10
2023,Asia,MDV,Maldives,LTA Subang Terminal 3,Selangor,22,17,5
2023,Asia,PAK,Pakistan,Wang Kelian,Perlis,22,21,1
2023,Asia,RUS,Russian Federation,Pandaruan,Sarawak,22,13,9
2023,Asia,TJK,Tajikistan,Gelang Patah,Johor,22,14,8
2023,Asia,VNM,Vietnam,LT Bintulu,Sarawak,22,11,11
2023,Asia,AZE,Azerbaijan,LTA Langkawi,Kedah,21,12,9
2023,Asia,AZE,Azerbaijan,Sungai Tujuh,Sarawak,21,9,12
2023,Asia,JPN,Japan,LT Tawau,Sabah,21,13,8
2023,Asia,KOR,Korea,Jeti Pasir Gudang,Johor,21,16,5
2023,Asia,KWT,Kuwait,LTA Subang Terminal 3,Selangor,21,14,7
2023,Asia,KWT,Kuwait,LTA Sultan Ismail Senai,Johor,21,8,13
2023,Asia,LKA,Sri Lanka,Pejabat Imigresen Desaru Coast,Johor,21,11,10
2023,Asia,PHL,Philippines,Dermaga Kota Kinabalu,Sabah,21,13,8
2023,Asia,VNM,Vietnam,ICQ Durian Burung,Kedah,21,8,13
2023,Asia,VNM,Vietnam,Pengkalan Kubur,Kelantan,21,10,11
2023,Asia,ARE,United Arab Emirates,LTA Subang Terminal 3,Selangor,20,13,7
2023,Asia,KHM,Cambodia,LTA Ipoh,Perak,20,3,17
2023,Asia,KHM,Cambodia,Tedungan,Sarawak,20,4,16
2023,Asia,LAO,Lao People's Democratic Republic,LTA Subang Terminal 3,Selangor,20,13,7
2023,Asia,NPL,Nepal,Roro Labuan,Labuan,20,17,3
